,img,score,url
38,10613.png,0.33878418803215027,"id
10613    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
10613    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
39,30223.png,0.23657776415348053,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30223_-000.jpg
40,105894.png,0.25446969270706177,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-85078394-post-1802_-000.jpg
41,155123.png,0.3007846772670746,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-155123_-000.jpg
42,29724.png,0.2834185063838959,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-29724_-000.jpg
43,t7021.png,0.2355276644229889,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7083_-000.jpg
44,32728.png,0.25306907296180725,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-32728_-000.jpg
45,30971.png,0.24973107874393463,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30971_-000.jpg
46,232048.png,0.24139612913131714,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-74395367-post-232184_-000.jpg
47,31916.png,0.23996423184871674,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31916_-000.jpg
48,14508.png,0.38254261016845703,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82051849-post-11907_-000.png
49,33871.png,0.24647359549999237,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-33871_-000.jpg
50,7PbFb.png,0.30318164825439453,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-77870391-post-48337_-000.jpg
51,155606.png,0.23552769422531128,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-155606_-000.jpg
52,33598.png,0.260716050863266,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-33598_-000.jpg
53,158364.png,0.24179910123348236,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-158364_-000.jpg
54,31936.png,0.24949169158935547,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31936_-000.jpg
55,t3414.png,0.23812948167324066,"id
t3414    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
t3414    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
56,158955.png,0.5076390504837036,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-158955_-000.jpg
57,30954.png,0.23503641784191132,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30954_-000.jpg
58,156614.png,0.31083711981773376,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156614_-000.jpg
59,t5875.png,0.237794890999794,"id
t5875    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
t5875    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
60,29663.png,0.2594659626483917,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-29663_-000.jpg
61,157937.png,0.2355276644229889,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-157937_-000.jpg
62,t5884.png,0.2539331316947937,"id
t5884    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
t5884    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
63,105548.png,0.23792356252670288,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82446419-post-105697_-000.jpg
64,33466.png,0.2355276644229889,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-33466_-000.jpg
65,31574.png,0.3738192617893219,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31574_-000.jpg
66,30412.png,0.37107452750205994,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30412_-000.jpg
67,31151.png,0.2355564385652542,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31151_-000.jpg
68,30958.png,0.23503641784191132,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30958_-000.jpg
69,t2283.png,0.26063600182533264,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-2283_-000.jpg
70,10395.png,0.26822078227996826,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-77033598-post-10586_-000.jpg
71,30426.png,0.365796834230423,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30426_-000.jpg
72,156981.png,0.23609942197799683,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156981_-000.jpg
73,29521.png,0.24116250872612,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-29521_-000.jpg
74,30975.png,0.3768187463283539,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30975_-000.jpg
75,30567.png,0.2515709102153778,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30567_-000.jpg
76,30384.png,0.2513704001903534,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30384_-000.jpg
77,157795.png,0.2519743740558624,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-157795_-000.jpg
78,30190.png,0.24415990710258484,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30190_-000.jpg
79,105849.png,0.2532828152179718,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82446419-post-106016_-000.jpg
80,34424.png,0.23792356252670288,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-34424_-000.jpg
81,t7283.png,0.30046573281288147,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7383_-000.jpg
82,30973.png,0.367040753364563,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30973_-000.jpg
83,31573.png,0.23503641784191132,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31573_-000.jpg
84,154905.png,0.2492842972278595,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-154905_-000.jpg
85,30646.png,0.2521976828575134,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30646_-000.jpg
86,30415.png,0.2567844092845917,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30415_-000.jpg
87,10571.png,0.35955244302749634,"id
10571    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
10571    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
88,29689.png,0.2523258626461029,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-29689_-000.jpg
89,30097.png,0.24712194502353668,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30097_-000.jpg
90,33605.png,0.24415990710258484,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-33605_-000.jpg
91,159207.png,0.2579043209552765,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-159207_-000.jpg
92,34272.png,0.2795615792274475,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-34272_-000.jpg
93,30420.png,0.3662849962711334,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30420_-000.jpg
94,31589.png,0.3663085699081421,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31589_-000.jpg
95,31388.png,0.2352694272994995,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31388_-000.jpg
96,31078.png,0.2603679597377777,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31078_-000.jpg
97,t2750.png,0.2355276346206665,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-2750_-000.jpg
98,31170.png,0.24594634771347046,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31170_-000.jpg
99,30959.png,0.3718264698982239,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30959_-000.jpg
100,11477.png,0.2355276495218277,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-74230841-post-14399_-000.jpg
101,32160.png,0.2429061383008957,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-32160_-000.jpg
102,159129.png,0.24378237128257751,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-159129_-000.jpg
103,154967.png,0.2591140568256378,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-154967_-000.jpg
104,32644.png,0.23996426165103912,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-32644_-000.jpg
105,157019.png,0.29849308729171753,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-157019_-000.jpg
106,30416.png,0.3655531406402588,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30416_-000.jpg
107,t5489.png,0.25636327266693115,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-74672753-post-110_-000.jpg
108,156475.png,0.23624755442142487,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156475_-000.jpg
109,31699.png,0.26525256037712097,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31699_-000.jpg
110,154791.png,0.31745877861976624,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-154791_-000.jpg
111,31917.png,0.23549215495586395,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31917_-000.jpg
112,157274.png,0.25079160928726196,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-157274_-000.jpg
113,t7270.png,0.23851501941680908,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7370_-000.jpg
114,34630.png,0.23763468861579895,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-85746942-post-3772_-000.jpg
115,33932.png,0.2736969590187073,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-33932_-000.jpg
116,155732.png,0.2932828664779663,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-155732_-000.jpg
117,t5651.png,0.24898675084114075,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82506049-post-5962_-000.jpg
118,t2656.png,0.23816214501857758,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-2656_-000.jpg
119,105635.png,0.2496308982372284,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82446419-post-105781_-000.jpg
120,48096.png,0.23620489239692688,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-85939210-post-1087_-000.jpg
121,156653.png,0.25573933124542236,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156653_-000.jpg
122,32471.png,0.23864801228046417,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-32471_-000.jpg
123,156995.png,0.3733634352684021,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156995_-000.jpg
124,232204.png,0.23982039093971252,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-76976363-post-1705_-000.jpg
125,t6341.png,0.2489185631275177,"id
t6341    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
t6341    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
126,t7316.png,0.2379235327243805,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7417_-000.jpg
127,30008.png,0.36604079604148865,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30008_-000.jpg
128,31970.png,0.28695544600486755,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31970_-000.jpg
129,158496.png,0.24942520260810852,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-158496_-000.jpg
130,232202.png,0.2398204356431961,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-76976363-post-1703_-000.jpg
131,31004.png,0.26649755239486694,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31004_-000.jpg
132,t2961.png,0.24797961115837097,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-2961_-000.jpg
133,158471.png,0.24146640300750732,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-158471_-000.jpg
134,31502.png,0.2424783706665039,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31502_-000.jpg
135,hPuBb.png,0.23835283517837524,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-77870391-post-48386_-000.jpg
136,155747.png,0.2579043209552765,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-155747_-000.jpg
137,t6583.png,0.25735896825790405,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-6622_-000.jpg
138,t6554.png,0.2577401101589203,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-6591_-000.jpg
139,29503.png,0.2444349080324173,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-29503_-000.jpg
140,30869.png,0.24138739705085754,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30869_-000.jpg
141,156509.png,0.2355276644229889,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-156509_-000.jpg
142,232109.png,0.2380353957414627,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-74395367-post-232245_-000.jpg
143,158550.png,0.25618776679039,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-80108712-post-158550_-000.jpg
144,31585.png,0.3667964041233063,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31585_-000.jpg
145,30407.png,0.23503641784191132,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-30407_-000.jpg
146,10690.png,0.2355276644229889,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-77870391-post-48109_-000.jpg
147,t7019.png,0.2372211068868637,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7081_-000.jpg
148,31473.png,0.24472619593143463,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82554347-post-31473_-000.jpg
149,t1596.png,0.2505831718444824,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-1596_-000.jpg
150,t3011.png,0.24779869616031647,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-83637918-post-3011_-000.jpg
151,t7112.png,0.2463771551847458,http://dev-ai.faikerz.com/Files2/SocialmediaWatch/NAVER_BAND/NAVER_BAND-band-82001241-post-7184_-000.jpg
152,t5914.png,0.2355276346206665,"id
t5914    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
t5914    http://dev-ai.faikerz.com/Files2/SocialmediaWa...
Name: img_url, dtype: object"
